"Beginning_Hex","Executed_Hex","Program_Label"
"7072696E 74282268 656C6C6F 20776F72 6C642229","330D0D0A 98CFD75B 14000000 E3000000 00000000 00000000 00020000 00400000 00730C00 00006500 64008301 01006401 53002902 7A0B6865 6C6C6F20 776F726C 644E2901 DA057072 696E74A9 00720200 00007202 000000FA","print"
"7072696E 7428226D 79206E61 6D652229","330D0D0A 6995F05B 10000000 E3000000 00000000 00000000 00020000 00400000 00730C00 00006500 64008301 01006401 53002902 7A076D79 206E616D 654E2901 DA057072 696E74A9 00720200 00007202 000000FA","print"
"7072696E 74282234 322229","330D0D0A 3E96F05B 0B000000 E3000000 00000000 00000000 00020000 00400000 00730C00 00006500 64008301 01006401 53002902 5A023432 4E2901DA 05707269 6E74A900 72020000 00720200 0000FA","print"
"7072696E 74282269 73207468 69732074 68652072 65616C20 6C696665 3F2229","330D0D0A AD96F05B 1F000000 E3000000 00000000 00000000 00020000 00400000 00730C00 00006500 64008301 01006401 53002902 7A166973 20746869 73207468 65207265 616C206C 6966653F 4E2901DA 05707269 6E74A900 72020000 00720200 0000FA","print"
"7072696E 7428226F 72206973 20697420 6A757374 20612066 616E7461 73793F22 29","330D0D0A 0897F05B 21000000 E3000000 00000000 00000000 00020000 00400000 00730C00 00006500 64008301 01006401 53002902 7A186F72 20697320 6974206A 75737420 61206661 6E746173 793F4E29 01DA0570 72696E74 A9007202 00000072 02000000 FA","print"
"7072696E 74282271 756E6174 756D2063 6F6D7075 74696E67 2229","330D0D0A AA97F05B 1A000000 E3000000 00000000 00000000 00020000 00400000 00730C00 00006500 64008301 01006401 53002902 7A117175 6E617475 6D20636F 6D707574 696E674E 2901DA05 7072696E 74A90072 02000000 72020000 00FA","print"
"7072696E 7428224D 61727322 29","330D0D0A 0498F05B 0D000000 E3000000 00000000 00000000 00020000 00400000 00730C00 00006500 64008301 01006401 53002902 5A044D61 72734E29 01DA0570 72696E74 A9007202 00000072 02000000 FA","print"
"7072696E 74282245 61727468 2229","330D0D0A 4D98F05B 0E000000 E3000000 00000000 00000000 00020000 00400000 00730C00 00006500 64008301 01006401 53002902 5A054561 7274684E 2901DA05 7072696E 74A90072 02000000 72020000 00FA","print"
"7072696E 74282243 7572696F 73697479 20526F76 65722229","330D0D0A 9C98F05B 18000000 E3000000 00000000 00000000 00020000 00400000 00730C00 00006500 64008301 01006401 53002902 7A0F4375 72696F73 69747920 526F7665 724E2901 DA057072 696E74A9 00720200 00007202 000000FA","print"
"7072696E 7428226C 65742773 20646F20 74686973 2229","330D0D0A EA98F05B 16000000 E3000000 00000000 00000000 00020000 00400000 00730C00 00006500 64008301 01006401 53002902 7A0D6C65 74277320 646F2074 6869734E 2901DA05 7072696E 74A90072 02000000 72020000 00FA","print"
"33202B20 34","330D0D0A 2B99F05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9030000 00E90400 00004EE9 07000000 A9007204 00000072 04000000 72040000 00FA","add"
"37202B20 32","330D0D0A A199F05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9070000 00E90200 00004EE9 09000000 A9007204 00000072 04000000 72040000 00FA","add"
"39202B20 31","330D0D0A FF99F05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9090000 00E90100 00004EE9 0A000000 A9007204 00000072 04000000 72040000 00FA","add"
"30202B20 38","330D0D0A 419AF05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9000000 00E90800 00004E72 02000000 A9007203 00000072 03000000 72030000 00FA","add"
"3132202B 2035","330D0D0A 899AF05B 06000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E90C0000 00E90500 00004EE9 11000000 A9007204 00000072 04000000 72040000 00FA","add"
"3130202B 2037","330D0D0A D79AF05B 06000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E90A0000 00E90700 00004EE9 11000000 A9007204 00000072 04000000 72040000 00FA","add"
"31373920 2B2030","330D0D0A 169BF05B 07000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9B30000 00E90000 00004E72 01000000 A9007203 00000072 03000000 72030000 00FA","add"
"34202B20 32","330D0D0A 729BF05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9040000 00E90200 00004EE9 06000000 A9007204 00000072 04000000 72040000 00FA","add"
"31303020 2B203237","330D0D0A B59BF05B 08000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9640000 00E91B00 00004EE9 7F000000 A9007204 00000072 04000000 72040000 00FA","add"
"3432202B 2038","330D0D0A 0D9CF05B 06000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E92A0000 00E90800 00004EE9 32000000 A9007204 00000072 04000000 72040000 00FA","add"
"69662030 20697320 303A0A20 20202070 72696E74 28226E6F 7468696E 67206973 206E6F74 68696E67 2229","330D0D0A 549CF05B 2A000000 E3000000 00000000 00000000 00020000 00400000 00731400 00006400 64006B08 72106500 64018301 01006402 53002903 E9000000 007A126E 6F746869 6E672069 73206E6F 7468696E 674E2901 DA057072 696E74A9 00720300 00007203 000000FA","if"
"69662033 202B2037 20616E64 2032202B 2038203D 3D203130 3A0A2020 20207072 696E7428 22313022 29","330D0D0A B19CF05B 29000000 E3000000 00000000 00000000 00020000 00400000 00731800 00006407 72146408 64046B02 72146500 64058301 01006406 53002909 E9030000 00E90700 0000E902 000000E9 08000000 E90A0000 005A0231 304E7205 00000072 05000000 2901DA05 7072696E 74A90072 07000000 72070000 00FA","if"
"69662054 72756520 3D3D2054 7275653A 0A202020 20707269 6E742822 54727565 2229","330D0D0A 279DF05B 22000000 E3000000 00000000 00000000 00020000 00400000 00731400 00006400 64006B02 72106500 64018301 01006402 53002903 54DA0454 7275654E 2901DA05 7072696E 74A90072 03000000 72030000 00FA","if"
"69662046 616C7365 20697320 46616C73 653A0A20 20202070 72696E74 28224661 6C736522 29","330D0D0A 719DF05B 25000000 E3000000 00000000 00000000 00020000 00400000 00731400 00006400 64006B08 72106500 64018301 01006402 53002903 46DA0546 616C7365 4E2901DA 05707269 6E74A900 72030000 00720300 0000FA","if"
"69662030 203D3D20 31206973 2046616C 73653A0A 20202020 7072696E 74282230 202F3D20 312229","330D0D0A DA9DF05B 27000000 E3000000 00000000 00000000 00030000 00400000 00732400 00006400 64010400 03006B02 6F126402 6B086E04 02000100 72206500 64038301 01006404 53002905 E9000000 00E90100 0000467A 0630202F 3D20314E 2901DA05 7072696E 74A90072 04000000 72040000 00FA","if"
"69662032 203D3D20 373A0A20 20202070 72696E74 28223F22 290A656C 73653A0A 20202020 7072696E 7428226E 6F706522 29","330D0D0A 789EF05B 31000000 E3000000 00000000 00000000 00020000 00400000 00731E00 00006400 64016B02 72126500 64028301 01006E08 65006403 83010100 64045300 2905E902 000000E9 07000000 FA013F5A 046E6F70 654E2901 DA057072 696E74A9 00720500 00007205 000000FA","if_else"
"69662054 72756520 69732046 616C7365 3A0A2020 20207072 696E7428 22657272 6F722229 0A656C73 653A0A20 20202070 72696E74 28226C69 65732229","330D0D0A EC9EF05B 3C000000 E3000000 00000000 00000000 00020000 00400000 00731E00 00006400 64016B08 72126500 64028301 01006E08 65006403 83010100 64045300 29055446 DA056572 726F725A 046C6965 734E2901 DA057072 696E74A9 00720300 00007203 000000FA","if_else"
"69662022 796F7520 616E6420 4922203D 3D202275 7320616E 64207468 656D223A 0A202020 20707269 6E742822 6572726F 7222290A 656C7365 3A0A2020 20207072 696E7428 226A7573 74207468 65203220 6F662075 732229","330D0D0A 479FF05B 57000000 E3000000 00000000 00000000 00020000 00400000 00731E00 00006400 64016B02 72126500 64028301 01006E08 65006403 83010100 64045300 29057A09 796F7520 616E6420 497A0B75 7320616E 64207468 656DDA05 6572726F 727A106A 75737420 74686520 32206F66 2075734E 2901DA05 7072696E 74A90072 03000000 72030000 00FA","if_else"
"69662022 68696D22 203D3D20 22746861 74206775 79223A0A 20202020 7072696E 74282279 65732C20 74686174 20677579 2E22290A 656C7365 3A0A2020 20207072 696E7428 226E6F74 2068696D 2229","330D0D0A A79FF05B 4E000000 E3000000 00000000 00000000 00020000 00400000 00731E00 00006400 64016B02 72126500 64028301 01006E08 65006403 83010100 64045300 29055A03 68696D7A 08746861 74206775 797A0E79 65732C20 74686174 20677579 2E7A076E 6F742068 696D4E29 01DA0570 72696E74 A9007202 00000072 02000000 FA","if_else"
"69662022 74686973 22203D3D 20227468 6174223A 0A202020 20707269 6E742822 77686174 3F22290A 656C7365 3A0A2020 20207072 696E7428 22746865 73652061 7265206E 6F742074 68652073 616D6522 29","330D0D0A 0BA0F05B 51000000 E3000000 00000000 00000000 00020000 00400000 00731E00 00006400 64016B02 72126500 64028301 01006E08 65006403 83010100 64045300 2905DA04 74686973 DA047468 61747A05 77686174 3F7A1674 68657365 20617265 206E6F74 20746865 2073616D 654E2901 DA057072 696E74A9 00720400 00007204 000000FA","if_else"
"37202D20 35","330D0D0A 6EA0F05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9070000 00E90500 00004EE9 02000000 A9007204 00000072 04000000 72040000 00FA","subtract"
"32202D20 31","330D0D0A BCA0F05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9020000 00E90100 00004E72 02000000 A9007203 00000072 03000000 72030000 00FA","subtract"
"30202D20 35","330D0D0A FDA0F05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9000000 00E90500 00004EE9 FBFFFFFF A9007204 00000072 04000000 72040000 00FA","subtract"
"39202D20 37","330D0D0A 40A1F05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9090000 00E90700 00004EE9 02000000 A9007204 00000072 04000000 72040000 00FA","subtract"
"34202D20 31","330D0D0A 8CA1F05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9040000 00E90100 00004EE9 03000000 A9007204 00000072 04000000 72040000 00FA","subtract"
"38202D20 33","330D0D0A D0A1F05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9080000 00E90300 00004EE9 05000000 A9007204 00000072 04000000 72040000 00FA","subtract"
"39202D20 32","330D0D0A 0AA2F05B 05000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9090000 00E90200 00004EE9 07000000 A9007204 00000072 04000000 72040000 00FA","subtract"
"3130202D 2039","330D0D0A 57A2F05B 06000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E90A0000 00E90900 00004EE9 01000000 A9007204 00000072 04000000 72040000 00FA","subtract"
"31373920 2D203739","330D0D0A 93A2F05B 08000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E9B30000 00E94F00 00004EE9 64000000 A9007204 00000072 04000000 72040000 00FA","subtract"
"3432202D 2037","330D0D0A F2A2F05B 06000000 E3000000 00000000 00000000 00020000 00400000 00730800 00006403 01006402 53002904 E92A0000 00E90700 00004EE9 23000000 A9007204 00000072 04000000 72040000 00FA","subtract"